no,waktu_terima_lokal,seq,ts_epoch_ms,tr_epoch_ms,delay_ms,jitter_ms,delay_valid,time_synced,packet_lost_before_this,n_sent_sejauh_ini,n_received_sejauh_ini,payload_size_bytes,payload_size_bit,elapsed_time_sec,throughput_bps,lat_raw,lon_raw,lat_kf,lon_kf,nav_mode,delivery_status,speed,pwm_l,pwm_r,battery
45,2026-07-10 16:50:33.849,433,1783677032000.0,1783677033849.498,1849.498046875,9.131103515625,True,True,0,45,45,839,6712,11.284657958984376,26416.042124047573,-7.051084,110.3993,-7.051089,110.3993,3,DELIVERY,0.432,60,60,12.63
46,2026-07-10 16:50:34.116,435,1783677034000.0,1783677034115.213,115.212890625,1734.28515625,True,True,0,46,46,843,6744,11.550372802734374,26392.221723599585,-7.051084,110.3993,-7.051085,110.3993,3,DELIVERY,0.356,131,165,12.62
47,2026-07-10 16:50:34.421,436,1783677034000.0,1783677034421.306,421.305908203125,306.093017578125,True,True,0,47,47,843,6744,11.8564658203125,26279.66923045434,-7.051084,110.3993,-7.051085,110.3993,3,DELIVERY,0.356,131,167,12.62
48,2026-07-10 16:50:34.729,437,1783677034000.0,1783677034728.809,728.80908203125,307.503173828125,True,True,0,48,48,844,6752,12.163968994140625,26170.405412356955,-7.051084,110.3993,-7.051085,110.3993,3,DELIVERY,0.356,131,167,12.62
49,2026-07-10 16:50:34.841,438,1783677034000.0,1783677034840.785,840.784912109375,111.975830078125,True,True,0,49,49,838,6704,12.27594482421875,26477.7990333372,-7.051084,110.3993,-7.051085,110.3993,3,DELIVERY,0.425,39,39,12.62
50,2026-07-10 16:50:35.142,440,1783677035000.0,1783677035141.583,141.5830078125,699.201904296875,True,True,0,50,50,839,6712,12.576742919921875,26378.21271471619,-7.051075,110.3993,-7.051082,110.3993,3,DELIVERY,0.35,162,86,12.62
51,2026-07-10 16:50:35.295,441,1783677035000.0,1783677035295.295,295.294921875,153.7119140625,True,True,0,51,51,838,6704,12.730454833984375,26586.32424479292,-7.051075,110.3993,-7.051082,110.3993,3,DELIVERY,0.35,188,86,12.62
52,2026-07-10 16:50:35.556,442,1783677035000.0,1783677035556.004,556.00390625,260.708984375,True,True,0,52,52,839,6712,12.991163818359375,26569.44403335147,-7.051075,110.3993,-7.051082,110.3993,3,DELIVERY,0.35,188,86,12.62
53,2026-07-10 16:50:35.756,443,1783677035000.0,1783677035755.684,755.68408203125,199.68017578125,True,True,0,53,53,843,6744,13.190843994140625,26678.505193171823,-7.051075,110.3993,-7.051082,110.3993,3,DELIVERY,0.403,36,36,12.65
54,2026-07-10 16:50:36.164,445,1783677036000.0,1783677036163.37,163.3701171875,592.31396484375,True,True,0,54,54,847,6776,13.598530029296874,26376.968630229683,-7.051074,110.3993,-7.05108,110.3993,3,DELIVERY,0.371,128,159,12.65
55,2026-07-10 16:50:36.364,446,1783677036000.0,1783677036364.226,364.22607421875,200.85595703125,True,True,0,55,55,846,6768,13.799385986328126,26483.4971905329,-7.051074,110.3993,-7.05108,110.3993,3,DELIVERY,0.371,128,168,12.65
56,2026-07-10 16:50:36.577,447,1783677036000.0,1783677036576.666,576.666015625,212.43994140625,True,True,0,56,56,847,6776,14.011825927734375,26565.559829231166,-7.051074,110.3993,-7.05108,110.3993,3,DELIVERY,0.371,128,168,12.65
57,2026-07-10 16:50:36.774,448,1783677036000.0,1783677036774.382,774.382080078125,197.716064453125,True,True,0,57,57,839,6712,14.2095419921875,26668.276866935325,-7.051074,110.3993,-7.051079,110.3993,1,DELIVERY,0.43,0,0,12.63
58,2026-07-10 16:50:37.296,450,1783677037000.0,1783677037295.883,295.883056640625,478.4990234375,True,True,0,58,58,860,6880,14.73104296875,26191.220867285207,-7.051074,110.3992,-7.051078,110.3993,1,DELIVERY,0.155,92,63,12.63
59,2026-07-10 16:50:37.352,451,1783677037000.0,1783677037351.49,351.489990234375,55.60693359375,True,True,0,59,59,862,6896,14.78664990234375,26559.09232947702,-7.051074,110.3992,-7.051078,110.3993,1,DELIVERY,0.155,92,63,12.63
60,2026-07-10 16:50:37.569,452,1783677037000.0,1783677037568.619,568.618896484375,217.12890625,True,True,0,60,60,860,6880,15.00377880859375,26633.290526191984,-7.051074,110.3992,-7.051078,110.3993,1,DELIVERY,0.155,92,63,12.63
61,2026-07-10 16:50:37.770,453,1783677037000.0,1783677037769.257,769.257080078125,200.63818359375,True,True,0,61,61,861,6888,15.2044169921875,26734.8626526664,-7.051074,110.3992,-7.051078,110.3993,1,DELIVERY,0.186,27,0,12.73
62,2026-07-10 16:50:38.517,455,1783677038000.0,1783677038516.828,516.827880859375,252.42919921875,True,True,0,62,62,854,6832,15.95198779296875,25910.250519510897,-7.051074,110.3992,-7.051078,110.3993,1,DELIVERY,0.136,79,66,12.73
63,2026-07-10 16:50:38.596,456,1783677038000.0,1783677038596.499,596.4990234375,79.671142578125,True,True,0,63,63,851,6808,16.031658935546876,26206.146331397642,-7.051074,110.3992,-7.051077,110.3993,1,DELIVERY,0.17,72,74,12.73
64,2026-07-10 16:50:38.610,457,1783677038000.0,1783677038610.556,610.555908203125,14.056884765625,True,True,0,64,64,851,6808,16.0457158203125,26607.476087762672,-7.051074,110.3992,-7.051077,110.3993,1,DELIVERY,0.17,72,74,12.73
